"Id","是否完成","Type","Note","Name","Name_en","Name_zh-Hant","Name_ja","Description","Description_zh-Hant","Description_en","Description_ja"
"solar_phase_tuning","TRUE","技能牌","","被珍藏的名字","Cherished Name","被珍藏的名字","大切にしまわれた名前","弃置手中所有牌，获得等同弃置牌数的{Terrias_terrias_solar_radiance}，然后抽3张牌。","棄置手中所有牌，獲得等同棄置牌數的{Terrias_terrias_solar_radiance}，然後抽3張牌。","Discard all cards in your hand. Gain {Terrias_terrias_solar_radiance} equal to the number discarded, then draw 3 cards.","手札をすべて捨てる。捨てた枚数に等しい{Terrias_terrias_solar_radiance}を得る。その後、カードを3枚引く。"
"solar_coronation","TRUE","能力牌","","日耀：授冕","Radiance: Coronation","日耀：授冕","日耀：授冠","获得3层{Terrias_terrias_solar_radiance}和2层{Terrias_terrias_solar_crown}。","獲得3層{Terrias_terrias_solar_radiance}和2層{Terrias_terrias_solar_crown}。","Gain 3 stacks of {Terrias_terrias_solar_radiance} and 2 stacks of {Terrias_terrias_solar_crown}.","{Terrias_terrias_solar_radiance}を3スタック、{Terrias_terrias_solar_crown}を2スタック得る。"
"blazing_crown_collapse","TRUE","攻击牌","","炽冕崩落","Blazing Crown Collapse","熾冕崩落","熾冕崩落","对敌方全体造成{0}（40+{Terrias_terrias_solar_crown_tier}*{Terrias_terrias_solar_coefficient}）点伤害。若没有{Terrias_terrias_solar_crown}，自身承受等额反噬。随后结束{Terrias_terrias_solar_crown}，消耗全部{Terrias_terrias_gathered_flame}，自身获得消耗聚炎层数一半的{buff_burn}。","對敵方全體造成{0}（40+{Terrias_terrias_solar_crown_tier}*{Terrias_terrias_solar_coefficient}）點傷害。若沒有{Terrias_terrias_solar_crown}，自身承受等額反噬。隨後結束{Terrias_terrias_solar_crown}，消耗全部{Terrias_terrias_gathered_flame}，自身獲得消耗聚炎層數一半的{buff_burn}。","Deal {0} (40+{Terrias_terrias_solar_crown_tier}*{Terrias_terrias_solar_coefficient}) damage to all enemies. If you do not have {Terrias_terrias_solar_crown}, take equal backlash. Then end {Terrias_terrias_solar_crown}, consume all {Terrias_terrias_gathered_flame}, and gain {buff_burn} equal to half the consumed flame.","敵全体に{0}（40+{Terrias_terrias_solar_crown_tier}*{Terrias_terrias_solar_coefficient}）ダメージを与える。{Terrias_terrias_solar_crown}がなければ同量の反動を受ける。その後、{Terrias_terrias_solar_crown}を終了し、すべての{Terrias_terrias_gathered_flame}を消費し、消費した聚炎の半分に等しい{buff_burn}を得る。"
"*radiant_oath","TRUE","技能牌","","启辉誓言","Radiant Oath","啟輝誓言","啓輝の誓い","获得3层{Terrias_terrias_solar_radiance}。若你没有{Terrias_terrias_scorching_canopy}，获得1层{Terrias_terrias_scorching_canopy}；否则抽1张牌。","獲得3層{Terrias_terrias_solar_radiance}。若你沒有{Terrias_terrias_scorching_canopy}，獲得1層{Terrias_terrias_scorching_canopy}；否則抽1張牌。","Gain 3 stacks of {Terrias_terrias_solar_radiance}. If you do not have {Terrias_terrias_scorching_canopy}, gain 1 stack of it; otherwise draw 1 card.","{Terrias_terrias_solar_radiance}を3スタック得る。{Terrias_terrias_scorching_canopy}がなければ1スタック得る。そうでなければ1枚引く。"
"solar_ignition","TRUE","技能牌","","日耀：引燃","Radiance: Ignition","日耀：引燃","日耀：点火","敌方全体获得2层{buff_burn}，并立刻生效一次。","敵方全體獲得2層{buff_burn}，並立刻生效一次。","All enemies gain 2 stacks of {buff_burn}, then it triggers once immediately.","敵全体に{buff_burn}を2スタック付与し、ただちに1回発動する。"
"scorching_flow_reclaim","TRUE","攻击牌","","灼流回收","Scorching Flow Reclaim","灼流回收","灼流回収","目标敌人的{buff_burn}立即生效1次。随后移除其身上所有{buff_burn}，获得等量{Terrias_terrias_gathered_flame}。","目標敵人的{buff_burn}立即生效1次。隨後移除其身上所有{buff_burn}，獲得等量{Terrias_terrias_gathered_flame}。","Trigger the target enemy's {buff_burn} once immediately. Then remove all its {buff_burn} and gain that much {Terrias_terrias_gathered_flame}.","対象の敵の{buff_burn}をただちに1回発動する。その後、対象の{buff_burn}をすべて取り除き、同量の{Terrias_terrias_gathered_flame}を得る。"
"impurity_purge","TRUE","技能牌","","焚污除秽","Impurity Purge","焚污除穢","焚汚浄化","移除自身所有负面 Buff，并获得等同于这些负面 Buff 总层数的{buff_burn}。","移除自身所有負面 Buff，並獲得等同於這些負面 Buff 總層數的{buff_burn}。","Remove all negative buffs from yourself, then gain {buff_burn} equal to their total stacks.","自身のすべての悪性Buffを取り除き、その合計スタック数に等しい{buff_burn}を得る。"
"flamewheel_recurrence","TRUE","技能牌","","炎轮再临","Flamewheel Recurrence","炎輪再臨","炎輪再臨","敌方全体的{buff_burn}立即生效2*N次，N为本场战斗已使用此牌次数+1。本次总费用等于N。","敵方全體的{buff_burn}立即生效2*N次，N為本場戰鬥已使用此牌次數+1。本次總費用等於N。","Trigger all enemies' {buff_burn} 2*N times immediately, where N is the number of times this card has been used this combat plus 1. This play's total Mana cost equals N.","敵全体の{buff_burn}をただちに2*N回発動する。Nはこの戦闘でこのカードを使用した回数+1。この使用の合計コストはNに等しい。"
"eclipse_hex","TRUE","攻击牌","","蚀天之咒","Eclipse Hex","蝕天之咒","蝕天の呪","对目标施加等同当前层数的{buff_burn}（最少8层），然后目标的{buff_burn}立即生效一次。","對目標施加等同當前層數的{buff_burn}（最少8層），然後目標的{buff_burn}立即生效一次。","Apply {buff_burn} to the target equal to its current stacks, minimum 8. Then trigger its {buff_burn} once immediately.","対象に現在のスタック数と同じだけ{buff_burn}を付与する（最低8）。その後、対象の{buff_burn}をただちに1回発動する。"
"solar_scorching_light","TRUE","技能牌","","浴火","Bathed in Fire","浴火","浴火","自身的{buff_burn}立即生效一次，并给予敌方全体翻倍数量的{buff_burn}。","自身的{buff_burn}立即生效一次，並給予敵方全體翻倍數量的{buff_burn}。","Trigger your {buff_burn} once immediately, then apply twice that many {buff_burn} to all enemies.","自身の{buff_burn}をただちに1回発動し、その2倍の{buff_burn}を敵全体に付与する。"
"burning_calamity","TRUE","攻击牌","","燃灾","Burning Calamity","燃災","燃災","选择一个敌人，将其{buff_burn}层数的一半施加给其他所有敌人。随后该目标的{buff_burn}立即生效一次。","選擇一個敵人，將其{buff_burn}層數的一半施加給其他所有敵人。隨後該目標的{buff_burn}立即生效一次。","Choose an enemy. Apply half of its {buff_burn} stacks to all other enemies. Then trigger that target's {buff_burn} once immediately.","敵1体を選ぶ。その{buff_burn}の半分を他のすべての敵に付与する。その後、対象の{buff_burn}をただちに1回発動する。"
"burning_crown_oath","TRUE","技能牌","","燃冠誓言","Burning Crown Oath","燃冠誓言","燃冠の誓い","消耗自身所有{Terrias_terrias_gathered_flame}。敌方全体获得等同于消耗层数一半的{buff_burn}，并立即生效一次。","消耗自身所有{Terrias_terrias_gathered_flame}。敵方全體獲得等同於消耗層數一半的{buff_burn}，並立即生效一次。","Consume all your {Terrias_terrias_gathered_flame}. All enemies gain {buff_burn} equal to half the consumed stacks, then it triggers once immediately.","自身の{Terrias_terrias_gathered_flame}をすべて消費する。敵全体に消費数の半分に等しい{buff_burn}を付与し、ただちに1回発動する。"
"morning_light_bulwark","TRUE","技能牌","","晨光壁垒","Morninglight Bulwark","晨光壁壘","晨光の壁","获得{0}点护盾。","獲得{0}點護盾。","Gain {0} Block.","{0}シールドを得る。"
"solar_return","TRUE","技能牌","","日耀：回转","Radiance: Return","日耀：回轉","日耀：回転","获得1层{Terrias_terrias_solar_radiance}，然后抽1张牌。","獲得1層{Terrias_terrias_solar_radiance}，然後抽1張牌。","Gain 1 stack of {Terrias_terrias_solar_radiance}, then draw 1 card.","{Terrias_terrias_solar_radiance}を1スタック得る。その後、カードを1枚引く。"
"solar_origin_core","TRUE","技能牌","","被燃尽的名字","Burned-Away Name","被燃盡的名字","焼き尽くされた名前","焚毁当前所有手牌，获得等量魔能。","焚毀當前所有手牌，獲得等量魔能。","Burn all cards currently in your hand. Gain that much Mana.","現在の手札をすべて焚毀し、その枚数と同じだけ魔能を得る。"
"ember_tower","TRUE","技能牌","","凝烬成塔","Ember Tower","凝燼成塔","凝燼の塔","将自身所有{Terrias_terrias_ember}和{buff_burn}转化为等量{Terrias_terrias_gathered_flame}。每转化满5层，抽1张牌。","將自身所有{Terrias_terrias_ember}和{buff_burn}轉化為等量{Terrias_terrias_gathered_flame}。每轉化滿5層，抽1張牌。","Convert all your {Terrias_terrias_ember} and {buff_burn} into the same amount of {Terrias_terrias_gathered_flame}. Draw 1 card for every 5 stacks converted.","自身の{Terrias_terrias_ember}と{buff_burn}をすべて同量の{Terrias_terrias_gathered_flame}に変換する。5スタック変換するごとにカードを1枚引く。"
"gathered_flame_shield","TRUE","技能牌","","聚炎护盾","Gathered Flame Shield","聚炎護盾","聚炎の盾","消耗所有{Terrias_terrias_gathered_flame}，获得{0}点护盾。","消耗所有{Terrias_terrias_gathered_flame}，獲得{0}點護盾。","Consume all {Terrias_terrias_gathered_flame} and gain {0} Block.","すべての{Terrias_terrias_gathered_flame}を消費し、{0}シールドを得る。"
"*gathered_flame_cycle","TRUE","能力牌","","聚炎轮转","Gathered Flame Cycle","聚炎輪轉","聚炎循環","获得{Terrias_terrias_cycle_gathered_flame}。","獲得{Terrias_terrias_cycle_gathered_flame}。","Gain {Terrias_terrias_cycle_gathered_flame}.","{Terrias_terrias_cycle_gathered_flame}を得る。"
"solar_eclipse","TRUE","技能牌","","日蚀","Solar Eclipse","日蝕","日蝕","敌方全体获得3层{buff_burn}。若场上存在{Terrias_terrias_scorching_canopy}，则额外施加1层{buff_rotten}，随机清除一种正面 Buff。","敵方全體獲得3層{buff_burn}。若場上存在{Terrias_terrias_scorching_canopy}，則額外施加1層{buff_rotten}，隨機清除一種正面 Buff。","All enemies gain 3 stacks of {buff_burn}. If {Terrias_terrias_scorching_canopy} is present, also apply 1 stack of {buff_rotten} and remove one random positive buff.","敵全体に{buff_burn}を3スタック付与する。{Terrias_terrias_scorching_canopy}があるなら、さらに{buff_rotten}を1スタック付与し、ランダムな正面Buffを1種類解除する。"
"smoke_erosion","TRUE","攻击牌","","烟蚀","Smoke Erosion","煙蝕","煙蝕","造成{0}（{1}+{2}*目标灼烧层数）点伤害。若目标拥有负面 Buff，给予2层{buff_burn}。","造成{0}（{1}+{2}*目標灼燒層數）點傷害。若目標擁有負面 Buff，給予2層{buff_burn}。","Deal {0} ({1}+{2}*target Burn stacks) damage. If the target has a negative buff, apply 2 stacks of {buff_burn}.","{0}（{1}+{2}*対象の燃焼スタック）ダメージを与える。対象がデバフを持つなら、{buff_burn}を2スタック付与する。"
"afterglow_omen_card","TRUE","技能牌","","圣庭净裁","Court Purification","聖庭淨裁","聖庭浄裁","消除目标除{buff_burn}和{Terrias_terrias_body_burn}外的所有 Buff，每消除一种，给予目标1层{buff_burn}；若没有{Terrias_terrias_solar_crown}，自身承受同样的效果。","消除目標除{buff_burn}和{Terrias_terrias_body_burn}外的所有 Buff，每消除一種，給予目標1層{buff_burn}；若沒有{Terrias_terrias_solar_crown}，自身承受同樣的效果。","Remove all buffs from the target except {buff_burn} and {Terrias_terrias_body_burn}. For each kind removed, apply 1 stack of {buff_burn}. If you have no {Terrias_terrias_solar_crown}, apply the same effect to yourself.","対象の{buff_burn}と{Terrias_terrias_body_burn}以外のBuffをすべて解除する。1種類解除するたび、対象に{buff_burn}を1スタック付与する。{Terrias_terrias_solar_crown}がない場合、自身も同じ効果を受ける。"
"star_map","TRUE","技能牌","晨星：序曲","星图","Star Map","星圖","星図","抽3张牌，并为这些牌附着【启明星】。然后选择3张手牌焚毁；若手牌不足3张，则全部焚毁。","抽3張牌，並為這些牌附著【啟明星】。然後選擇3張手牌焚毀；若手牌不足3張，則全部焚毀。","Draw 3 cards and attach Morning Star Seal to those cards. Then choose 3 cards in your hand to burn; if you have fewer than 3, burn them all.","カードを3枚引き、それらに【啓明星】を付与する。その後、手札を3枚選んで焚毀する。手札が3枚未満なら、すべて焚毀する。"
"blank_star_score","TRUE","技能牌","晨星：序曲","空白星谱","Blank Star Score","空白星譜","空白星譜","清空当前{Terrias_terrias_star_score}。获得1层{Terrias_terrias_star_blessing}，然后抽1张牌。","清空目前{Terrias_terrias_star_score}。獲得1層{Terrias_terrias_star_blessing}，然後抽1張牌。","Clear the current {Terrias_terrias_star_score}. Gain 1 {Terrias_terrias_star_blessing}, then draw 1 card.","現在の{Terrias_terrias_star_score}を空にする。{Terrias_terrias_star_blessing}を1得て、その後カードを1枚引く。"
"meter_rewrite","TRUE","技能牌","晨星：序曲","星律重订","Stellar Rule Rewrite","星律重訂","星律改訂","若当前{Terrias_terrias_star_score}不为空，将其最后一音按启→承→转→合→启的顺序改写为下一音。","若目前{Terrias_terrias_star_score}不為空，將其最後一音按啟→承→轉→合→啟的順序改寫為下一音。","If the current {Terrias_terrias_star_score} is not empty, change its last note to the next in the cycle Opening -> Sustain -> Turn -> Close -> Opening.","現在の{Terrias_terrias_star_score}が空でないなら、最後の音を始→承→転→結→始の順で次の音に書き換える。"
"prewritten_measure","TRUE","技能牌","晨星：序曲","星律锚定","Stellar Rule Anchor","星律錨定","星律アンカー","将【星辰序曲·承】写入伏谱。连音：再将【星辰序曲·转】写入伏谱。","將【星辰序曲・承】寫入伏譜。連音：再將【星辰序曲・轉】寫入伏譜。","Write Stellar Overture: Sustain into the prelude. Legato: also write Stellar Overture: Turn into the prelude.","【星辰序曲・承】を伏譜に書き込む。連音：さらに【星辰序曲・転】を伏譜に書き込む。"
"star_orbit_transpose","TRUE","技能牌","晨星：序曲","星轨换位","Star-Orbit Transpose","星軌換位","星軌移調","清空当前{Terrias_terrias_star_score}，并根据其中的每一音，分别获得对应的【星辰序曲】。","清空目前{Terrias_terrias_star_score}，並根據其中的每一音，分別獲得對應的【星辰序曲】。","Clear the current {Terrias_terrias_star_score} and gain the corresponding Stellar Overture for each note in it.","現在の{Terrias_terrias_star_score}を空にし、その各音に対応する【星辰序曲】をそれぞれ得る。"
"rest_mark","TRUE","技能牌","晨星：序曲","休止符","Rest Mark","休止符","休止符","清空当前{Terrias_terrias_star_score}；每清空1音，获得1层{Terrias_terrias_resonance}并抽1张牌。","清空目前{Terrias_terrias_star_score}；每清空1音，獲得1層{Terrias_terrias_resonance}並抽1張牌。","Clear the current {Terrias_terrias_star_score}; for each note cleared, gain 1 {Terrias_terrias_resonance} and draw 1 card.","現在の{Terrias_terrias_star_score}を空にする。消した音1つにつき{Terrias_terrias_resonance}を1得て、カードを1枚引く。"
"morning_star_stage","TRUE","技能牌","晨星：序曲","晨星：星台","Morning Star: Star Stage","晨星：星台","晨星：星台","获得1层{Terrias_terrias_star_stage}。","獲得1層{Terrias_terrias_star_stage}。","Gain 1 {Terrias_terrias_star_stage}.","{Terrias_terrias_star_stage}を1得る。"
"star_score_echo","TRUE","技能牌","晨星：序曲","晨星：复奏","Morning Star: Reprise","晨星：復奏","晨星：再奏","若已有完成的谱句，复奏最近完成的谱句，然后进行【谱曲】；否则，获得【星辰序曲·启】、【星辰序曲·承】、【星辰序曲·转】各1张。","若已有完成的譜句，複奏最近完成的譜句，然後進行【譜曲】；否則，獲得【星辰序曲・啟】、【星辰序曲・承】、【星辰序曲・轉】各1張。","If you have completed a cadence, replay the most recently completed one, then Compose; otherwise, gain 1 each of Stellar Overture: Opening, Sustain, and Turn.","完成済みの譜句があるなら、直近の譜句を再演し、その後【譜曲】する。なければ、【星辰序曲・始】【星辰序曲・承】【星辰序曲・転】を各1枚得る。"
"reverse_formula","TRUE","技能牌","晨星：诅咒与众生愿力","逆转术式","Reversal Formula","逆轉術式","反転術式","选择手牌中任意数量的诅咒进行焚毁，并根据每张诅咒的类型获得对应反转效果。","選擇手牌中任意數量的詛咒進行焚毀，並根據每張詛咒的類型獲得對應反轉效果。","Choose any number of Curses in your hand to burn, then gain the corresponding reversal effect based on each Curse's type.","手札から任意の枚数の呪いを選んで焼却し、それぞれの呪いの種類に応じた反転効果を得る。"
"morning_star_afterglow","TRUE","技能牌","晨星：诅咒与众生愿力","晨星：回光","Morning Star: Afterglow","晨星：回光","晨星：返光","焚毁抽牌堆、手牌和弃牌堆中的所有诅咒。每成功焚毁1张，获得1层{buff_VowPower}和1层{Terrias_terrias_starlight}。","焚毀抽牌堆、手牌和棄牌堆中的所有詛咒。每成功焚毀1張，獲得1層{buff_VowPower}和1層{Terrias_terrias_starlight}。","Burn every Curse in your draw pile, hand, and discard pile. For each card successfully burned, gain 1 {buff_VowPower} and 1 {Terrias_terrias_starlight}.","山札・手札・捨て札の呪いをすべて焼却する。焼却に成功したカード1枚につき、{buff_VowPower}と{Terrias_terrias_starlight}を1ずつ得る。"
"omen_transfer","TRUE","技能牌","晨星：诅咒与众生愿力","恶兆转移","Omen Transfer","惡兆轉移","凶兆転移","选择手牌中1张诅咒进行焚毁，然后对目标施加2层{buff_weak}与2层{buff_vulnerability}。","選擇手牌中1張詛咒進行焚毀，然後對目標施加2層{buff_weak}與2層{buff_vulnerability}。","Choose 1 Curse in your hand to burn, then apply 2 {buff_weak} and 2 {buff_vulnerability} to the target.","手札の呪い1枚を選んで焼却し、その後、対象に{buff_weak}と{buff_vulnerability}を2ずつ付与する。"
"all_beings_aspect","TRUE","技能牌","晨星：诅咒与众生愿力","众生相","Aspects of All Beings","眾生相","衆生相","随机获得1个尚未拥有的众生相祝福，否则获得5层{buff_VowPower}。","隨機獲得1個尚未擁有的眾生相祝福，否則獲得5層{buff_VowPower}。","Randomly gain 1 All-Beings blessing you do not own; otherwise, gain 5 {buff_VowPower}.","未所持の衆生相祝福をランダムに1つ得る。得られない場合、代わりに{buff_VowPower}を5得る。"
"all_beings_wish","TRUE","技能牌","晨星：诅咒与众生愿力","众生愿","Wish of All Beings","眾生願","衆生願","每拥有1种不同的众生相祝福，获得1层{buff_VowPower}。","每擁有1種不同的眾生相祝福，獲得1層{buff_VowPower}。","Gain 1 {buff_VowPower} for each different All-Beings blessing you own.","所持している異なる衆生相祝福1種につき、{buff_VowPower}を1得る。"
"all_beings_ferry","TRUE","技能牌","晨星：诅咒与众生愿力","众生渡","Passage of All Beings","眾生渡","衆生渡","焚毁手牌中的全部诅咒。每成功焚毁1张，抽1张牌并获得1点魔能。","焚毀手牌中的全部詛咒。每成功焚毀1張，抽1張牌並獲得1點魔能。","Burn every Curse in your hand. For each card successfully burned, draw 1 card and gain 1 Mana.","手札の呪いをすべて焼却する。焼却に成功したカード1枚につき、カードを1枚引き、魔力を1得る。"
"morning_star_elegy","TRUE","技能牌","晨星：诅咒与众生愿力","晨星：悲歌","Morning Star: Elegy","晨星：悲歌","晨星：哀歌","流失当前生命值的50%。实际流失量每达到最大生命值的7%，抽取1张随机诅咒并获得2层{Terrias_terrias_starlight}。","流失目前生命值的50%。實際流失量每達到最大生命值的7%，抽取1張隨機詛咒並獲得2層{Terrias_terrias_starlight}。","Lose 50% of your current HP. For each 7% of Max HP actually lost, draw 1 random Curse and gain 2 {Terrias_terrias_starlight}.","現在HPの50%を失う。実際に失ったHPが最大HPの7%に達するごとに、ランダムな呪いを1枚引き、{Terrias_terrias_starlight}を2得る。"
"polymorph","TRUE","技能牌","百变","百变","Polymorph","百變","百変","选择一个已注册角色，获得对应的一次性化身牌。化身只在本场战斗内生效。","選擇一個已註冊角色，獲得對應的一次性化身牌。化身只在本場戰鬥內生效。","Choose a registered role and gain its one-use polymorph card. The polymorph only lasts for this combat.","登録済みの役割を1つ選び、対応する一度きりの化身カードを得る。化身はこの戦闘中のみ有効。"
"*polymorph_role_template","TRUE","衍生牌","百变","百变化身","Polymorph Form","百變化身","百変化身","百变：目标角色","百變：目標角色","Polymorph: target role","百変：対象の役割"
"witch_projection","TRUE","技能牌","百变","拜托了","Please","拜託了","お願い","获得一张【另一个我】。投影以召唤者的冒险牌组原始卡牌建立独立牌局并自动出牌，占据1个友方角色位置。","獲得一張【另一個我】。投影以召喚者的冒險牌組原始卡牌建立獨立牌局並自動出牌，佔據1個友方角色位置。","Gain 1 Another Me. The projection builds an independent deck from the summoner's base adventure cards, plays automatically, and occupies 1 friendly role seat.","【もう一人の私】を1枚得る。投影は召喚者の冒険デッキの元カードから独立デッキを作り、自動行動して味方キャラクター枠を1つ使う。"
"heart_change","TRUE","技能牌","百变","心变","Change of Heart","心變","心変わり","仅当敌方场上有两名及以上敌人时生效。给予目标1层心变。","僅當至少有2名未被控制的敵人且己方有空位時可用。給予目標1層{Terrias_terrias_heart_change_control}：目標臨時投影至己方空位，下一次行動重新選擇敵人為目標，行動後返回原位；控制期間仍計為敵人。","Usable only while at least 2 uncontrolled enemies are alive and a friendly slot is open. Apply 1 {Terrias_terrias_heart_change_control}: the target projects into a friendly slot, retargets its next intent against enemies, then returns. It still counts as an enemy.","未制御の敵が2体以上いて、味方枠に空きがある時のみ使用できる。対象に{Terrias_terrias_heart_change_control}を1付与する：対象は一時的に味方枠へ投影され、次の意図は敵を対象に選び直し、行動後に元の位置へ戻る。制御中も敵として数える。"
"*projection_role_template","TRUE","衍生牌","百变","另一个我","Another Me","另一個我","もう一人の私","啧......真拿你没办法。每名玩家只能拥有1个投影；玩家角色与投影合计最多占用4个友方角色位置。","嘖......真拿你沒辦法。每名玩家只能擁有1個投影；玩家角色與投影合計最多佔用4個友方角色位置。","Fine... I suppose. Each player may control 1 projection; players and projections together can occupy at most 4 friendly role seats.","まったく、仕方ないね。各プレイヤーが持てる投影は1体までで、プレイヤーと投影を合わせて味方キャラクター枠は最大4つ。"
"spirit_ball","TRUE","技能牌","百变","精灵球","Spirit Ball","精靈球","精霊ボール","对一名可捕获敌人进行捕获检定：基础成功率为10%，目标每损失1%生命，成功率提高0.8%，最高90%。成功时记录该精灵；携带未满则加入背包，否则进入仓库。","對一名可捕獲敵人進行捕獲檢定：基礎成功率為10%，目標每損失1%生命，成功率提高0.8%，最高90%。成功時記錄該精靈；攜帶未滿則加入背包，否則進入倉庫。","Attempt to capture an eligible enemy. Base chance is 10%; gain 0.8% chance per 1% HP lost, up to 90%. On success, record the Spirit in the party or warehouse.","捕獲可能な敵1体の捕獲判定を行う。基本成功率は10%、失ったHP1%につき0.8%上昇し最大90%。成功時、精霊を手持ちまたは倉庫に登録する。"
"*spirit_card_template","TRUE","衍生牌","精灵","精灵","Spirit","精靈","精霊","召唤这张卡记录的精灵。已有精灵出战时无法召唤。","召喚此卡記錄的精靈。已有精靈出戰時無法召喚。","Summon the recorded Spirit. Cannot be used while another Spirit is active.","このカードに記録された精霊を召喚する。別の精霊が出戦中は使用できない。"
